Cards,4Win
A/A u,0.6418
K/K u,0.5859000000000001
Q/Q u,0.5390999999999999
J/J u,0.4963
T/T u,0.4569
A/K s,0.4252
9/9 u,0.4162
A/Q s,0.4107
A/K u,0.3966
A/J s,0.3985
K/Q s,0.3941
8/8 u,0.3808
A/T s,0.3875
A/Q u,0.3811
K/J s,0.3818
Q/J s,0.3702
K/T s,0.3712
A/J u,0.3675
K/Q u,0.3642
A/9 s,0.3618
Q/T s,0.3599
7/7 u,0.349
A/T u,0.35590000000000005
J/T s,0.35340000000000005
K/J u,0.3508
A/8 s,0.3532
K/9 s,0.3453
Q/J u,0.3396
A/7 s,0.3435
K/T u,0.3393
Q/9 s,0.33409999999999995
A/5 s,0.3389
6/6 u,0.3206
A/6 s,0.3332
Q/T u,0.3283
J/9 s,0.32799999999999996
A/9 u,0.3279
A/4 s,0.3309
T/9 s,0.3255
K/8 s,0.3251
J/T u,0.3224
A/3 s,0.3231
K/7 s,0.3177
A/8 u,0.3183
Q/8 s,0.3138
K/9 u,0.31120000000000003
A/2 s,0.3144
J/8 s,0.30760000000000004
K/6 s,0.3096
5/5 u,0.2947
T/8 s,0.3053
A/7 u,0.308
9/8 s,0.3006
Q/9 u,0.3004
K/5 s,0.30260000000000004
A/5 u,0.3025
J/9 u,0.29460000000000003
Q/7 s,0.2947
T/9 u,0.2928
A/6 u,0.2966
K/4 s,0.2949
A/4 u,0.2936
K/8 u,0.2893
J/7 s,0.2881
Q/6 s,0.2887
T/7 s,0.2859
K/3 s,0.2877
9/7 s,0.2831
8/7 s,0.2828
A/3 u,0.2849
4/4 u,0.2688
Q/5 s,0.2817
K/7 u,0.2814
K/2 s,0.2805
Q/8 u,0.2783
J/8 u,0.2726
Q/4 s,0.2743
A/2 u,0.2756
T/8 u,0.271
J/6 s,0.2702
K/6 u,0.2725
7/6 s,0.2674
T/6 s,0.2676
9/8 u,0.2666
8/6 s,0.2662
Q/3 s,0.2673
9/6 s,0.2652
J/5 s,0.2652
K/5 u,0.2647
Q/2 s,0.2601
3/3 u,0.2456
J/4 s,0.2579
Q/7 u,0.2576
6/5 s,0.2536
K/4 u,0.2565
7/5 s,0.2513
J/7 u,0.2518
J/3 s,0.2509
T/5 s,0.2507
T/7 u,0.2503
8/5 s,0.2489
Q/6 u,0.2511
8/7 u,0.2477
9/5 s,0.2477
9/7 u,0.2476
K/3 u,0.2484
T/4 s,0.2454
J/2 s,0.2441
5/4 s,0.2433
Q/5 u,0.2435
6/4 s,0.2374
K/2 u,0.2405
T/3 s,0.2382
2/2 u,0.2251
7/4 s,0.2339
Q/4 u,0.2354
T/2 s,0.2315
8/4 s,0.2313
7/6 u,0.2312
J/6 u,0.2322
9/4 s,0.2305
8/6 u,0.2296
T/6 u,0.2303
5/3 s,0.2272
9/6 u,0.2282
9/3 s,0.2255
Q/3 u,0.2275
J/5 u,0.2267
6/3 s,0.22
4/3 s,0.21899999999999997
9/2 s,0.2189
Q/2 u,0.2199
7/3 s,0.2164
J/4 u,0.2189
6/5 u,0.2167
8/3 s,0.2141
7/5 u,0.214
5/2 s,0.2103
8/2 s,0.2094
8/5 u,0.2111
T/5 u,0.2119
J/3 u,0.2111
9/5 u,0.2093
4/2 s,0.2032
5/4 u,0.2058
6/2 s,0.2028
T/4 u,0.2061
J/2 u,0.2035
7/2 s,0.1997
6/4 u,0.1993
3/2 s,0.1952
T/3 u,0.1984
7/4 u,0.1951
8/4 u,0.192
T/2 u,0.1909
9/4 u,0.1907
5/3 u,0.1886
9/3 u,0.1851
6/3 u,0.1806
4/3 u,0.1796
9/2 u,0.1778
7/3 u,0.17620000000000002
8/3 u,0.1736
5/2 u,0.17010000000000006
8/2 u,0.16829999999999998
4/2 u,0.16260000000000002
6/2 u,0.162
7/2 u,0.1583
3/2 u,0.1539
